Johnny_1280x720_60.yuv_qp32_60fr_vtmSIMD_out,40.9130,46.1662,47.0335,42.1010,397.0480,2160.846
Johnny_1280x720_60.yuv_qp37_60fr_vtmSIMD_out,39.0341,44.6659,45.3881,40.2575,222.2320,1326.308
Kimono_1920x1080_24.yuv_qp22_60fr_vtmSIMD_out,42.2907,43.3890,45.3453,42.8046,5363.7440,36986.171
Kimono_1920x1080_24.yuv_qp27_60fr_vtmSIMD_out,40.1779,42.0636,43.6393,40.8170,2238.1344,25005.411
Kimono_1920x1080_24.yuv_qp32_60fr_vtmSIMD_out,37.7758,41.0226,42.4066,38.6279,1110.3840,14889.438
Kimono_1920x1080_24.yuv_qp37_60fr_vtmSIMD_out,35.1648,40.1509,41.5900,36.2491,547.0144,8236.885
ParkScene_1920x1080_24.yuv_qp22_60fr_vtmSIMD_out,40.3309,42.4046,43.9947,41.0113,6880.0160,27344.316
ParkScene_1920x1080_24.yuv_qp27_60fr_vtmSIMD_out,37.8594,40.9168,41.9041,38.6871,2808.2304,15507.196
ParkScene_1920x1080_24.yuv_qp32_60fr_vtmSIMD_out,35.3608,39.6093,40.4601,36.3722,1271.9744,9968.186
ParkScene_1920x1080_24.yuv_qp37_60fr_vtmSIMD_out,32.9027,38.4475,39.5810,34.0958,571.4592,6139.490
PartyScene_832x480_50.yuv_qp22_60fr_vtmSIMD_out,38.7170,41.4569,42.2561,39.2911,7753.5667,8325.385
PartyScene_832x480_50.yuv_qp27_60fr_vtmSIMD_out,35.0091,39.1393,39.7072,35.8435,3632.9533,5302.371
PartyScene_832x480_50.yuv_qp32_60fr_vtmSIMD_out,31.8124,37.4873,37.8537,32.8851,1811.3267,3815.507
PartyScene_832x480_50.yuv_qp37_60fr_vtmSIMD_out,28.8679,36.1405,36.2356,30.1266,881.1800,2418.742
PeopleOnStreet_2560x1600_30_crop.yuv_qp22_60fr_vtmSIMD_out,40.8024,45.2231,44.9409,41.6602,27701.6800,73752.506
PeopleOnStreet_2560x1600_30_crop.yuv_qp27_60fr_vtmSIMD_out,37.7721,43.5059,43.7969,38.8815,12444.7320,49487.569
PeopleOnStreet_2560x1600_30_crop.yuv_qp32_60fr_vtmSIMD_out,35.0525,42.1687,42.8601,36.3433,6520.4680,37666.820
PeopleOnStreet_2560x1600_30_crop.yuv_qp37_60fr_vtmSIMD_out,32.2222,41.1174,41.9946,33.6496,3465.3520,26234.698
RaceHorses_416x240_30.yuv_qp22_60fr_vtmSIMD_out,39.6507,41.7360,42.2035,40.1239,1154.9720,3057.327
RaceHorses_416x240_30.yuv_qp27_60fr_vtmSIMD_out,35.7118,39.4041,39.8443,36.5111,557.5840,2299.779
RaceHorses_416x240_30.yuv_qp32_60fr_vtmSIMD_out,32.3527,37.7048,37.9623,33.4269,278.1440,1705.604
RaceHorses_416x240_30.yuv_qp37_60fr_vtmSIMD_out,29.4975,36.3040,36.3745,30.7550,135.5600,1132.010
RaceHorses_832x480_30.yuv_qp22_60fr_vtmSIMD_out,38.9988,41.2228,42.3326,39.4920,4930.9480,11490.310
RaceHorses_832x480_30.yuv_qp27_60fr_vtmSIMD_out,35.4689,39.2520,40.4415,36.3111,1987.2360,7127.596
RaceHorses_832x480_30.yuv_qp32_60fr_vtmSIMD_out,32.6833,37.7946,39.0449,33.7823,944.3400,6224.252
RaceHorses_832x480_30.yuv_qp37_60fr_vtmSIMD_out,29.9445,36.6064,37.7615,31.2377,450.3400,3275.556
Traffic_2560x1600_30_crop.yuv_qp22_60fr_vtmSIMD_out,42.2679,41.6577,44.5713,42.4011,11161.7480,43665.231
Traffic_2560x1600_30_crop.yuv_qp27_60fr_vtmSIMD_out,39.8383,40.2098,42.9233,40.2505,4404.4040,23351.381
Traffic_2560x1600_30_crop.yuv_qp32_60fr_vtmSIMD_out,37.4693,39.1250,41.6170,38.1735,2127.5480,14592.517
Traffic_2560x1600_30_crop.yuv_qp37_60fr_vtmSIMD_out,34.9553,38.0897,40.4017,35.9236,1093.5640,9483.483
