BasketballDrill -34.714237136 1.75714077845329 0.122416713793
BasketballDrive -37.2025375701 0.9007321137010268 0.117016698407
BasketballPass -29.2055785592 1.7084173506355977 0.146390164293
BlowingBubbles -23.9023305967 1.11856310871364 0.0948284750771
BQMall -30.8647125099 1.5491286400455253 0.122792021569
BQSquare -32.953431014 1.8935676292694112 0.158039473843
BQTerrace -31.089103569 0.7335608190785572 0.135786907566
Cactus -36.1933806339 0.9518219432006524 0.132891819112
Kimono1 -24.6473733399 0.8978823132832469 0.128916178493
ParkScene -28.0934991549 1.0137215138485565 0.149690403014
PartyScene -27.3175451438 1.5071040842448642 0.119852027079
PeopleOnStreet -31.1656766846 1.6079278622981987 0.111463798273
RaceHorses -24.3506121631 1.360367273218862 0.108499465699
RaceHorsesC -24.4572102783 1.094372544659819 0.102825956614
Traffic -33.7908035077 1.3736839537383894 0.165244971045
