SlideShow_1280x720_20fps_8bit,32framelimt_RA,22,OPT,"33,99","107,04","274,48","411,35","1053,71","243,1","371,6","41,75","791,84","592,76","950,09","338,05","229,21","614,7","1739,54","833,59","1610,76","331,59","141,03","6768,79","8756,15","77,303267"
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,27,OPT,"88,59","175,4","351,87","569,81","1280,81","296,27","491,65","49,05","963,35","432,42","1061,58","351,5","357,61","787,92","2202,49","1012,4","2590,16","562,44","263,99","8919,14","11740,89","75,966473"
BasketballPass_416x240_50fps_8bit,32framelimt_RA,27,OPT,"10,49","23,9","70,49","73,55","295,52","37,55","59,65","8,89","178,76","153,73","192,31","74,61","55,55","97,2","439,56","187,65","396,01","81,71","34,39","1567,62","1962,63","79,873435"
Cactus_1920x1080_50fps_8bit,32framelimt_RA,27,OPT,"583,88","649,36","1786,72","2182,08","4302,32","1123,55","2031,41","181,85","3654,84","1140,21","4619,16","1250,46","1310,15","3154,96","8271,12","3836,69","12586,01","2130,01","1233,24","36494,83","47381,28","77,023732"
SlideShow_1280x720_20fps_8bit,32framelimt_RA,27,OPT,"18,5","78,34","241,55","322,9","914,42","164,79","267,24","26,55","487,1","564,8","671,12","203,24","191,97","432,03","1478,87","513,65","1285,2","246,37","96,84","5239,3","6603,93","79,336092"
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,32,OPT,"49,81","129,17","287,13","431,28","1100,61","214,18","377,51","29,6",482,"359,54","675,88","175,44","292,21","591,69","1819,02","511,6","1904,14","397,36","178,98","6443,29","8400,33","76,70282"
BasketballPass_416x240_50fps_8bit,32framelimt_RA,32,OPT,"5,58","15,69","50,56","49,21","225,73","22,89","39,46","4,52","86,57","108,05","114,09","33,46","41,1","62,35","325,5","91,09","266,55","50,97","21,27","1030,41","1266,07","81,386495"
Cactus_1920x1080_50fps_8bit,32framelimt_RA,32,OPT,"149,35","486,95","1559,66","1690,22","4904,25","791,42","1474,73","96,55","1675,14","1065,5","2905,38","597,43","1217,65","2266,15","8154,13","1771,69","8841,45","1516,92","636,3","26815,51","33987,32","78,898572"
SlideShow_1280x720_20fps_8bit,32framelimt_RA,32,OPT,"9,71","52,04","168,88","228,04","733,55","116,31","179,94","16,76","324,28","542,9","500,55","130,44","145,29","296,25","1130,47","341,04","884,1","168,37","61,75","3901,84","4839,65","80,622359"
BasketballDrillText_832x480_50fps_8bit,32framelimt_RA,37,OPT,"24,68","84,88","205,86","287,16","798,16","142,51","246,46","15,77","214,65","292,71","391,33","76,13","212,58","388,97","1291,18","230,42","1283,4","250,87","109,56","4245,16","5440,93","78,022691"
BasketballPass_416x240_50fps_8bit,32framelimt_RA,37,OPT,"2,9","10,81","37,71","35,59","166,92","13,45","26,67","2,11","42,64","97,97","74,98","13,77","31,58","40,12","240,22","44,75","184,69","34,15","13,71","724,46","875,43","82,754761"
Cactus_1920x1080_50fps_8bit,32framelimt_RA,37,OPT,"61,28","293,16","1073,23","1031,89","3420,78","460,76","894,5","47,48","701,44","955,73","1648,05","249,79","822,25","1355,26","5525,9","748,92","5609,78","884,99","354,44","16832,09","20744,77","81,138957"
SlideShow_1280x720_20fps_8bit,32framelimt_RA,37,OPT,"5,6","33,96","117,1","163,41","539,22","83,76","139,77","12,02","224,58","545,21","390,68","81,75","102,17","223,53","819,73","236,6","589,92","109,83","39,56","2940,13","3590,02","81,897315"
