YUV,QP,128x128,128x64,64x128,64x64,64x48,64x32,64x24,64x16,64x12,64x8,64x4,64x2,48x64,48x32,48x16,48x8,48x4,32x64,32x48,32x32,32x24,32x16,32x12,32x8,32x4,32x2,24x64,24x32,24x16,24x8,24x4,16x64,16x48,16x32,16x24,16x16,16x12,16x8,16x4,16x2,12x64,12x32,12x16,12x8,12x4,8x64,8x48,8x32,8x24,8x16,8x12,8x8,8x4,8x2,4x64,4x48,4x32,4x24,4x16,4x12,4x8,4x4,4x2,2x64,2x32,2x16,2x8,2x4,zeros,resto,chroma
BasketballDrill_INTER.csv,32,131,38,26,701,0,301,0,140,0,34,9,0,0,0,0,0,0,201,0,1102,0,629,0,381,92,0,0,0,0,0,0,200,0,843,0,1077,0,582,198,12,0,0,0,0,0,119,0,637,0,803,0,447,111,14,39,0,126,0,282,0,130,48,0,0,0,24,8,0,32,20,4092
BasketballDrill_INTER.csv,37,179,41,62,724,0,370,0,137,0,57,9,0,0,0,0,0,0,274,0,864,0,494,0,240,25,0,0,0,0,0,0,246,0,619,0,500,0,245,44,4,0,0,0,0,0,114,0,342,0,258,0,79,11,0,20,0,61,0,65,0,11,2,0,0,4,4,0,0,2,4,1516
BasketballDrill_INTRA.csv,22,0,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,13,0,17,0,13,11,0,0,0,0,0,0,0,0,20,0,97,0,228,422,44,0,0,0,0,0,0,0,23,0,281,0,1428,3786,1308,0,0,16,0,430,0,4083,7098,0,0,0,28,554,0,1361,344,9139
BasketballDrill_INTRA.csv,27,1,0,0,2,0,3,0,0,0,3,1,0,0,0,0,0,0,3,0,31,0,35,0,35,21,0,0,0,0,0,0,8,0,36,0,166,0,356,358,44,0,0,0,0,0,0,0,28,0,407,0,1778,2704,552,0,0,28,0,416,0,2882,3998,0,0,0,32,364,0,658,116,6585
BasketballDrill_INTRA.csv,32,3,0,0,13,0,10,0,9,0,1,1,0,0,0,0,0,0,13,0,55,0,46,0,58,32,0,0,0,0,0,0,9,0,61,0,302,0,508,302,28,0,0,0,0,0,4,0,52,0,720,0,1416,1253,242,2,0,34,0,387,0,1255,1438,0,0,4,16,162,0,220,72,4318
BasketballDrill_INTRA.csv,37,6,1,2,27,0,19,0,16,0,1,0,0,0,0,0,0,0,18,0,69,0,101,0,77,35,0,0,0,0,0,0,18,0,137,0,436,0,394,230,24,0,0,0,0,0,10,0,85,0,542,0,621,531,84,5,0,44,0,215,0,551,750,0,0,0,24,98,0,62,56,2661
BasketballDrive_INTER.csv,22,559,184,133,2163,0,2247,0,2605,0,2143,1308,12,0,0,0,0,0,941,0,2129,0,2415,0,2066,1300,144,0,0,0,0,0,617,0,1783,0,2825,0,2965,2219,492,0,0,0,0,0,199,0,1218,0,2351,0,2993,3539,946,70,0,412,0,1176,0,2678,2606,0,8,12,136,304,0,2470,728,66034
BasketballDrive_INTER.csv,27,1135,405,435,1757,0,1471,0,1504,0,1150,423,0,0,0,0,0,0,876,0,1960,0,1674,0,1266,595,88,0,0,0,0,0,597,0,1711,0,2109,0,1637,962,192,0,0,0,0,0,184,0,1171,0,1646,0,1436,1361,276,59,0,321,0,725,0,968,872,0,0,16,60,104,0,768,252,32467
BasketballDrive_INTER.csv,32,1658,421,429,1248,0,1229,0,1171,0,967,172,4,0,0,0,0,0,851,0,1650,0,1248,0,817,302,52,0,0,0,0,0,663,0,1506,0,1484,0,865,443,96,0,0,0,0,0,273,0,900,0,855,0,668,399,100,74,0,218,0,318,0,350,228,0,0,12,52,44,0,172,88,17137
BasketballDrive_INTER.csv,37,2022,275,347,1196,0,1317,0,1169,0,938,76,0,0,0,0,0,0,850,0,1504,0,813,0,378,137,24,0,0,0,0,0,667,0,1079,0,669,0,344,126,16,0,0,0,0,0,281,0,569,0,362,0,192,90,16,49,0,130,0,99,0,72,28,0,0,16,12,0,0,21,20,8319
BasketballDrive_INTRA.csv,22,4,0,0,9,0,28,0,80,0,163,222,172,0,0,0,0,0,14,0,51,0,173,0,326,474,284,0,0,0,0,0,40,0,125,0,438,0,2322,3084,780,0,0,0,0,0,67,0,153,0,1034,0,20523,4323,1656,53,0,82,0,285,0,1984,1592,0,28,12,52,148,0,1368,1568,28222
BasketballDrive_INTRA.csv,27,18,20,22,75,0,70,0,164,0,101,117,92,0,0,0,0,0,35,0,262,0,1079,0,1943,2832,660,0,0,0,0,0,129,0,193,0,577,0,1420,1823,980,0,0,0,0,0,22,0,162,0,530,0,1142,1817,890,23,0,87,0,276,0,889,1094,0,0,24,52,128,0,537,2556,17545
BasketballDrive_INTRA.csv,32,47,51,13,127,0,81,0,176,0,88,101,84,0,0,0,0,0,39,0,394,0,1139,0,1671,2063,768,0,0,0,0,0,62,0,265,0,675,0,1144,1139,736,0,0,0,0,0,24,0,151,0,463,0,672,885,380,17,0,88,0,184,0,461,598,0,4,20,24,50,0,147,1492,11800
BasketballDrive_INTRA.csv,37,63,99,69,176,0,70,0,147,0,94,64,32,0,0,0,0,0,63,0,519,0,1091,0,1187,1392,600,0,0,0,0,0,65,0,271,0,561,0,784,681,476,0,0,0,0,0,27,0,175,0,360,0,418,408,214,1,0,83,0,147,0,212,150,0,0,0,12,12,0,27,788,7430
BasketballPass_INTER.csv,22,0,0,0,237,0,107,0,104,0,15,0,0,0,0,0,0,0,99,0,350,0,179,0,124,29,0,0,0,0,0,0,37,0,226,0,503,0,372,188,0,0,0,0,0,0,39,0,267,0,574,0,568,263,10,5,0,145,0,485,0,436,116,0,0,0,0,26,0,84,32,3609
BasketballPass_INTER.csv,27,4,2,3,266,0,132,0,137,0,22,0,0,0,0,0,0,0,120,0,265,0,168,0,109,12,0,0,0,0,0,0,45,0,196,0,326,0,244,118,4,0,0,0,0,0,43,0,206,0,388,0,372,153,12,12,0,89,0,256,0,221,38,0,0,0,0,20,0,27,4,1373
BasketballPass_INTER.csv,32,17,9,2,249,0,148,0,157,0,15,4,0,0,0,0,0,0,116,0,241,0,141,0,71,18,0,0,0,0,0,0,50,0,149,0,218,0,114,45,0,0,0,0,0,0,36,0,145,0,184,0,140,54,0,11,0,54,0,135,0,80,8,0,0,0,12,4,0,5,12,434
BasketballPass_INTER.csv,37,40,3,2,225,0,156,0,165,0,10,4,0,0,0,0,0,0,134,0,133,0,109,0,49,4,0,0,0,0,0,0,47,0,79,0,102,0,36,11,0,0,0,0,0,0,39,0,76,0,60,0,45,11,0,18,0,26,0,45,0,8,0,0,0,0,0,0,0,0,0,72
BasketballPass_INTRA.csv,22,0,0,0,14,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,32,0,21,0,29,48,4,0,0,0,0,0,3,0,19,0,81,0,83,178,76,0,0,0,0,0,1,0,27,0,110,0,300,604,326,4,0,36,0,186,0,726,1112,0,0,4,8,196,0,273,192,2110
BasketballPass_INTRA.csv,27,0,0,0,19,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,51,0,21,0,25,40,8,0,0,0,0,0,0,0,13,0,80,0,128,181,80,0,0,0,0,0,1,0,28,0,125,0,296,529,200,2,0,29,0,186,0,544,726,0,0,0,8,130,0,185,204,1747
BasketballPass_INTRA.csv,32,0,0,0,22,0,7,0,4,0,1,0,0,0,0,0,0,0,8,0,37,0,33,0,42,37,8,0,0,0,0,0,1,0,28,0,111,0,148,146,72,0,0,0,0,0,2,0,38,0,129,0,261,299,88,2,0,25,0,150,0,336,388,0,4,4,20,92,0,83,116,1197
BasketballPass_INTRA.csv,37,0,0,0,23,0,7,0,6,0,0,0,0,0,0,0,0,0,10,0,47,0,39,0,44,53,8,0,0,0,0,0,3,0,34,0,100,0,104,137,28,0,0,0,0,0,4,0,45,0,129,0,187,200,40,2,0,42,0,97,0,193,252,0,4,12,36,80,0,26,120,711
BlowingBubbles_INTER.csv,22,0,0,0,29,0,32,0,37,0,14,4,0,0,0,0,0,0,50,0,427,0,320,0,211,55,0,0,0,0,0,0,59,0,414,0,943,0,772,431,8,0,0,0,0,0,47,0,403,0,1194,0,1357,530,54,8,0,203,0,933,0,766,278,0,0,0,0,36,0,214,20,8003
BlowingBubbles_INTER.csv,27,8,0,0,90,0,96,0,98,0,29,1,0,0,0,0,0,0,90,0,428,0,268,0,119,47,0,0,0,0,0,0,65,0,335,0,632,0,463,213,0,0,0,0,0,0,54,0,321,0,748,0,727,291,34,11,0,149,0,500,0,397,138,0,0,0,4,32,0,89,8,3240
BlowingBubbles_INTER.csv,32,14,2,3,153,0,106,0,103,0,11,0,0,0,0,0,0,0,118,0,392,0,221,0,88,12,4,0,0,0,0,0,66,0,276,0,366,0,252,102,0,0,0,0,0,0,49,0,239,0,395,0,249,72,8,11,0,78,0,180,0,113,28,0,0,4,0,4,0,16,4,1141
BlowingBubbles_INTER.csv,37,32,2,5,173,0,149,0,140,0,5,0,0,0,0,0,0,0,114,0,271,0,167,0,58,12,4,0,0,0,0,0,46,0,165,0,156,0,67,33,0,0,0,0,0,0,29,0,112,0,127,0,36,3,0,9,0,27,0,43,0,14,4,0,0,0,4,0,0,0,0,447
BlowingBubbles_INTRA.csv,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,9,0,30,0,78,164,12,0,0,0,0,0,0,0,12,0,122,0,446,837,218,0,0,3,0,200,0,1056,1396,0,0,0,16,346,0,296,196,4467
BlowingBubbles_INTRA.csv,27,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,7,4,0,0,0,0,0,0,1,0,12,0,84,0,110,124,12,0,0,0,0,0,0,0,28,0,189,0,505,718,220,0,0,10,0,234,0,881,1136,0,0,4,68,376,0,169,100,3274
BlowingBubbles_INTRA.csv,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,19,0,14,8,0,0,0,0,0,0,1,0,41,0,124,0,151,126,24,0,0,0,0,0,0,0,42,0,241,0,442,510,130,0,0,23,0,247,0,710,718,0,0,0,56,236,0,82,92,1967
BlowingBubbles_INTRA.csv,37,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,38,0,24,0,16,6,0,0,0,0,0,0,3,0,54,0,155,0,155,92,28,0,0,0,0,0,4,0,52,0,258,0,389,324,122,4,0,28,0,210,0,441,430,0,0,0,52,230,0,16,64,1062
Cactus_INTER.csv,22,811,21,19,1898,0,1396,0,1391,0,1180,342,4,0,0,0,0,0,1241,0,4302,0,4211,0,3617,1480,16,0,0,0,0,0,1056,0,4309,0,6489,0,7109,3851,100,0,0,0,0,0,674,0,3881,0,7461,0,7334,2765,344,220,0,1576,0,3841,0,2579,1552,0,0,20,56,216,0,1336,252,71884
Cactus_INTER.csv,27,1454,114,151,2277,0,1419,0,1288,0,890,101,0,0,0,0,0,0,1083,0,3251,0,1907,0,1497,348,12,0,0,0,0,0,838,0,2195,0,3407,0,2595,1141,16,0,0,0,0,0,486,0,1970,0,3225,0,3102,903,88,119,0,662,0,1596,0,994,410,0,0,8,36,28,0,259,60,24103
