YUV,Bitrate,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,Time
PartyScene_832x480_50_2taps_27qp_200fframes_RA_.txt,4131.6320,34.3732,38.5579,39.0869,35.3061,1416.523
PartyScene_832x480_50_2taps_32qp_200fframes_RA_.txt,1995.9120,31.0813,36.6496,37.0421,32.2178,1166.218
PartyScene_832x480_50_2taps_37qp_200fframes_RA_.txt,970.5040,28.1075,35.3611,35.6955,29.4410,1003.367
PeopleOnStreet_2560x1600_30_2taps_22qp_200fframes_RA_.txt,33067.7920,40.1654,44.8644,44.6543,41.0394,13885.176
PeopleOnStreet_2560x1600_30_2taps_27qp_200fframes_RA_.txt,15786.1760,37.1403,42.9312,43.2666,38.2475,11362.235
PeopleOnStreet_2560x1600_30_2taps_32qp_200fframes_RA_.txt,8265.4592,34.1798,41.2842,41.9307,35.4423,9816.768
PeopleOnStreet_2560x1600_30_2taps_37qp_200fframes_RA_.txt,4624.4416,31.4169,40.0865,40.8862,32.8005,8775.082
RaceHorses_416x240_30_2taps_22qp_200fframes_RA_.txt,1263.1692,39.1043,41.4682,42.4897,39.6659,504.896
RaceHorses_416x240_30_2taps_27qp_200fframes_RA_.txt,612.6408,35.3441,38.8290,39.9855,36.1687,406.671
RaceHorses_416x240_30_2taps_32qp_200fframes_RA_.txt,293.3532,31.9295,36.9172,38.0072,32.9982,333.837
RaceHorses_416x240_30_2taps_37qp_200fframes_RA_.txt,140.6280,29.1504,35.6706,36.6504,30.4067,284.139
RaceHorses_832x480_30_2taps_22qp_200fframes_RA_.txt,5564.7156,38.4794,41.0009,42.5151,38.9093,2179.755
RaceHorses_832x480_30_2taps_27qp_200fframes_RA_.txt,2289.2016,35.0932,38.7447,40.3926,35.8125,1676.887
RaceHorses_832x480_30_2taps_32qp_200fframes_RA_.txt,1045.3176,32.2034,36.9335,38.6931,33.1619,1378.312
RaceHorses_832x480_30_2taps_37qp_200fframes_RA_.txt,496.2000,29.5391,35.7379,37.4954,30.6946,1184.437
SlideEditing_1280x720_30_2taps_22qp_200fframes_RA_.txt,1443.4116,47.5309,46.2103,46.2303,47.0205,1666.590
SlideEditing_1280x720_30_2taps_27qp_200fframes_RA_.txt,1089.1764,43.3227,41.9548,42.0179,42.7958,1651.059
SlideEditing_1280x720_30_2taps_32qp_200fframes_RA_.txt,821.7696,38.8423,39.2873,39.4444,38.9504,1640.499
SlideEditing_1280x720_30_2taps_37qp_200fframes_RA_.txt,617.7264,34.1528,38.1209,37.7424,35.0086,1620.731
Tennis_1920x1080_24_2taps_22qp_200fframes_RA_.txt,5054.8445,42.0319,45.0837,45.9030,42.5714,8402.780
Tennis_1920x1080_24_2taps_27qp_200fframes_RA_.txt,2277.6038,40.0385,43.6873,44.0826,40.5929,7067.260
Tennis_1920x1080_24_2taps_32qp_200fframes_RA_.txt,1110.0288,37.7295,42.3138,42.4443,38.3665,6242.648
Tennis_1920x1080_24_2taps_37qp_200fframes_RA_.txt,586.0570,35.4382,41.4101,41.3490,36.2284,5624.415
Traffic_2560x1600_30_2taps_22qp_200fframes_RA_.txt,13317.6976,41.6518,41.5686,44.2305,41.9249,9211.396
Traffic_2560x1600_30_2taps_27qp_200fframes_RA_.txt,5342.4528,39.1312,39.8298,42.3177,39.6235,7471.497
Traffic_2560x1600_30_2taps_32qp_200fframes_RA_.txt,2548.5280,36.5849,38.4607,40.8114,37.3398,6669.563
Traffic_2560x1600_30_2taps_37qp_200fframes_RA_.txt,1316.9968,33.9164,37.4106,39.7214,34.9575,5798.237
