YUV,Bitrate,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,Time
PartyScene_832x480_50_8taps_27qp_200fframes_RA_.txt,4093.1760,34.4042,38.5655,39.1068,35.3363,1421.169
PartyScene_832x480_50_8taps_32qp_200fframes_RA_.txt,1982.5160,31.1197,36.6593,37.0591,32.2549,1163.702
PartyScene_832x480_50_8taps_37qp_200fframes_RA_.txt,966.6000,28.1451,35.3613,35.6949,29.4759,1005.472
PeopleOnStreet_2560x1600_30_8taps_22qp_200fframes_RA_.txt,32959.0368,40.1784,44.8698,44.6553,41.0524,13924.375
PeopleOnStreet_2560x1600_30_8taps_27qp_200fframes_RA_.txt,15758.2400,37.1595,42.9374,43.2714,38.2666,11278.261
PeopleOnStreet_2560x1600_30_8taps_32qp_200fframes_RA_.txt,8265.3328,34.1983,41.2926,41.9358,35.4603,9742.100
PeopleOnStreet_2560x1600_30_8taps_37qp_200fframes_RA_.txt,4628.6544,31.4362,40.0800,40.8877,32.8190,8711.743
RaceHorses_416x240_30_8taps_22qp_200fframes_RA_.txt,1249.2732,39.1471,41.4793,42.5074,39.7084,502.576
RaceHorses_416x240_30_8taps_27qp_200fframes_RA_.txt,609.3636,35.4010,38.8258,40.0111,36.2206,407.363
RaceHorses_416x240_30_8taps_32qp_200fframes_RA_.txt,292.7796,31.9809,36.9083,38.0274,33.0444,332.723
RaceHorses_416x240_30_8taps_37qp_200fframes_RA_.txt,140.4996,29.1716,35.6705,36.6335,30.4256,283.383
RaceHorses_832x480_30_8taps_22qp_200fframes_RA_.txt,5521.9788,38.4907,41.0040,42.5216,38.9202,2166.103
RaceHorses_832x480_30_8taps_27qp_200fframes_RA_.txt,2274.6696,35.1246,38.7507,40.3918,35.8422,1675.414
RaceHorses_832x480_30_8taps_32qp_200fframes_RA_.txt,1042.7172,32.2422,36.9397,38.6994,33.1960,1370.611
RaceHorses_832x480_30_8taps_37qp_200fframes_RA_.txt,496.3596,29.5683,35.7344,37.4900,30.7209,1185.666
SlideEditing_1280x720_30_8taps_22qp_200fframes_RA_.txt,1442.8836,47.5331,46.2086,46.2326,47.0221,1664.160
SlideEditing_1280x720_30_8taps_27qp_200fframes_RA_.txt,1089.7716,43.3285,41.9541,42.0106,42.7979,1651.498
SlideEditing_1280x720_30_8taps_32qp_200fframes_RA_.txt,819.3876,38.8489,39.2860,39.4477,38.9550,1639.726
SlideEditing_1280x720_30_8taps_37qp_200fframes_RA_.txt,616.4136,34.1610,38.1210,37.7529,35.0188,1612.316
Tennis_1920x1080_24_8taps_22qp_200fframes_RA_.txt,5042.3616,42.0388,45.0844,45.9037,42.5785,8370.700
Tennis_1920x1080_24_8taps_27qp_200fframes_RA_.txt,2276.3952,40.0468,43.6865,44.0726,40.6005,7003.892
Tennis_1920x1080_24_8taps_32qp_200fframes_RA_.txt,1109.3971,37.7377,42.3156,42.4383,38.3716,6202.271
Tennis_1920x1080_24_8taps_37qp_200fframes_RA_.txt,586.4621,35.4516,41.4120,41.3440,36.2406,5566.710
Traffic_2560x1600_30_8taps_22qp_200fframes_RA_.txt,13281.4832,41.6661,41.5685,44.2325,41.9357,9177.962
Traffic_2560x1600_30_8taps_27qp_200fframes_RA_.txt,5336.3520,39.1461,39.8289,42.3195,39.6347,7501.175
Traffic_2560x1600_30_8taps_32qp_200fframes_RA_.txt,2549.3472,36.5961,38.4626,40.8130,37.3490,6666.662
Traffic_2560x1600_30_8taps_37qp_200fframes_RA_.txt,1317.8896,33.9251,37.4118,39.7265,34.9653,6101.123
