YUV,Bitrate,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,Time
BQMall_832x480_60_4taps_22qp_200fframes_RA_.txt,4893.6504,39.5964,43.3165,44.2966,40.5348,1484.053
BQMall_832x480_60_4taps_27qp_200fframes_RA_.txt,2307.4488,36.9467,41.4426,41.8792,37.9788,1210.342
BQMall_832x480_60_4taps_32qp_200fframes_RA_.txt,1166.6112,34.1257,39.8330,39.9507,35.3017,1039.967
BQMall_832x480_60_4taps_37qp_200fframes_RA_.txt,616.9896,31.3540,38.5960,38.6012,32.6897,937.648
BQSquare_416x240_60_4taps_22qp_200fframes_RA_.txt,1819.4904,38.4454,43.6157,44.2811,39.4520,376.288
BQSquare_416x240_60_4taps_27qp_200fframes_RA_.txt,793.4568,34.9461,41.2475,42.0173,36.1786,276.794
BQSquare_416x240_60_4taps_32qp_200fframes_RA_.txt,405.3720,32.0182,39.6077,40.3540,33.4043,231.561
BQSquare_416x240_60_4taps_37qp_200fframes_RA_.txt,222.2160,29.1568,38.4856,39.1509,30.6662,209.331
BQTerrace_1920x1080_60_4taps_22qp_200fframes_RA_.txt,37093.1976,37.9060,42.4804,44.7279,38.7715,8284.810
BQTerrace_1920x1080_60_4taps_27qp_200fframes_RA_.txt,8389.0872,35.7599,41.1430,43.4566,36.9879,5375.650
BQTerrace_1920x1080_60_4taps_32qp_200fframes_RA_.txt,2955.1392,34.2049,39.8604,42.2747,35.4837,4596.553
BQTerrace_1920x1080_60_4taps_37qp_200fframes_RA_.txt,1329.6144,32.3600,38.9084,41.3549,33.6963,4301.021
BasketballDrill_832x480_50_4taps_22qp_200fframes_RA_.txt,3589.3240,40.5347,43.1277,43.6586,41.2448,1513.188
BasketballDrill_832x480_50_4taps_27qp_200fframes_RA_.txt,1738.1220,37.4318,40.7523,40.9003,38.2536,1254.421
BasketballDrill_832x480_50_4taps_32qp_200fframes_RA_.txt,853.6780,34.5030,38.6976,38.6009,35.4572,1064.992
BasketballDrill_832x480_50_4taps_37qp_200fframes_RA_.txt,453.3400,31.9877,37.2369,36.9604,33.0898,951.298
BasketballDrive_1920x1080_50_4taps_22qp_200fframes_RA_.txt,18374.5560,39.1491,43.8705,44.8930,40.1896,8321.676
BasketballDrive_1920x1080_50_4taps_27qp_200fframes_RA_.txt,6399.5840,37.4448,42.6036,42.8961,38.5286,6641.114
BasketballDrive_1920x1080_50_4taps_32qp_200fframes_RA_.txt,2988.5840,35.5853,41.3224,41.0124,36.6823,5740.592
BasketballDrive_1920x1080_50_4taps_37qp_200fframes_RA_.txt,1578.2380,33.6041,40.3578,39.7035,34.7857,5203.685
BasketballPass_416x240_50_4taps_22qp_200fframes_RA_.txt,1264.0820,40.9201,44.2364,43.6156,41.5342,361.459
BasketballPass_416x240_50_4taps_27qp_200fframes_RA_.txt,630.2040,37.2559,41.6315,40.6901,38.0239,306.766
BasketballPass_416x240_50_4taps_32qp_200fframes_RA_.txt,311.1940,33.9658,39.5562,38.4480,34.9176,262.314
BasketballPass_416x240_50_4taps_37qp_200fframes_RA_.txt,161.0140,31.1822,38.1310,36.8817,32.3107,234.270
BlowingBubbles_416x240_50_4taps_22qp_200fframes_RA_.txt,1641.8000,38.4170,41.4585,42.6462,39.2152,401.581
BlowingBubbles_416x240_50_4taps_27qp_200fframes_RA_.txt,758.9760,35.1720,38.9668,39.9682,36.1098,316.473
BlowingBubbles_416x240_50_4taps_32qp_200fframes_RA_.txt,364.3560,32.1035,37.0251,37.9506,33.2078,262.858
BlowingBubbles_416x240_50_4taps_37qp_200fframes_RA_.txt,176.2380,29.2780,35.7324,36.4956,30.5551,231.469
Cactus_1920x1080_50_4taps_22qp_200fframes_RA_.txt,19751.9840,38.4871,40.0423,43.6335,39.1962,7368.126
Cactus_1920x1080_50_4taps_27qp_200fframes_RA_.txt,6236.6900,36.8620,39.0799,41.9332,37.7121,5454.162
Cactus_1920x1080_50_4taps_32qp_200fframes_RA_.txt,2927.3560,34.9721,38.2543,40.3872,35.9626,4784.644
Cactus_1920x1080_50_4taps_37qp_200fframes_RA_.txt,1505.7460,32.8037,37.5715,39.1958,33.9753,4418.341
FourPeople_1280x720_60_4taps_22qp_200fframes_RA_.txt,2924.6712,42.6276,46.6418,47.9625,43.6739,2106.790
FourPeople_1280x720_60_4taps_27qp_200fframes_RA_.txt,1343.7168,40.6896,44.8095,46.1060,41.7608,1849.420
FourPeople_1280x720_60_4taps_32qp_200fframes_RA_.txt,740.8248,38.2877,43.0550,44.3558,39.4475,1743.414
FourPeople_1280x720_60_4taps_37qp_200fframes_RA_.txt,429.4392,35.5248,41.7908,42.9447,36.8435,1681.612
Johnny_1280x720_60_4taps_22qp_200fframes_RA_.txt,1980.9720,42.9554,48.1005,48.7263,44.1119,2038.191
Johnny_1280x720_60_4taps_27qp_200fframes_RA_.txt,754.3488,41.4953,46.5990,47.2216,42.6606,1782.696
Johnny_1280x720_60_4taps_32qp_200fframes_RA_.txt,386.2848,39.6445,45.0178,45.5843,40.8423,1701.257
Johnny_1280x720_60_4taps_37qp_200fframes_RA_.txt,216.1968,37.3453,43.6694,44.1253,38.6417,1661.797
Kimono1_1920x1080_24_4taps_22qp_200fframes_RA_.txt,5117.1437,41.6419,43.3875,45.2095,42.2982,7388.583
Kimono1_1920x1080_24_4taps_27qp_200fframes_RA_.txt,2366.0026,39.7381,41.9986,43.3679,40.4455,6153.236
Kimono1_1920x1080_24_4taps_32qp_200fframes_RA_.txt,1156.4246,37.3810,40.7843,42.0376,38.2746,5426.065
Kimono1_1920x1080_24_4taps_37qp_200fframes_RA_.txt,586.6243,34.9621,39.9328,41.2373,36.0895,4984.707
ParkScene_1920x1080_24_4taps_22qp_200fframes_RA_.txt,7620.0403,40.0165,42.3288,43.7582,40.7570,6958.817
ParkScene_1920x1080_24_4taps_27qp_200fframes_RA_.txt,3271.8470,37.4803,40.4432,41.5115,38.3316,5536.994
ParkScene_1920x1080_24_4taps_32qp_200fframes_RA_.txt,1491.2237,34.8727,38.8470,39.9855,35.9026,4855.256
ParkScene_1920x1080_24_4taps_37qp_200fframes_RA_.txt,690.8659,32.3704,37.6650,39.0980,33.5945,4467.996
PartyScene_832x480_50_4taps_22qp_200fframes_RA_.txt,8675.5600,38.1178,41.0870,41.8433,38.8267,1822.200
PartyScene_832x480_50_4taps_27qp_200fframes_RA_.txt,4098.5100,34.4018,38.5659,39.1016,35.3339,1425.936
PartyScene_832x480_50_4taps_32qp_200fframes_RA_.txt,1985.6000,31.1165,36.6613,37.0519,32.2517,1168.476
PartyScene_832x480_50_4taps_37qp_200fframes_RA_.txt,966.9740,28.1380,35.3672,35.7041,29.4697,1007.839
PeopleOnStreet_2560x1600_30_4taps_22qp_200fframes_RA_.txt,33004.7152,40.1776,44.8645,44.6536,41.0516,13809.990
PeopleOnStreet_2560x1600_30_4taps_27qp_200fframes_RA_.txt,15772.6720,37.1551,42.9287,43.2678,38.2616,11240.750
PeopleOnStreet_2560x1600_30_4taps_32qp_200fframes_RA_.txt,8270.7904,34.1949,41.2850,41.9304,35.4562,9713.762
PeopleOnStreet_2560x1600_30_4taps_37qp_200fframes_RA_.txt,4627.5824,31.4297,40.0796,40.8877,32.8123,8673.824
RaceHorses_416x240_30_4taps_22qp_200fframes_RA_.txt,1251.6828,39.1410,41.4653,42.5006,39.7007,502.515
RaceHorses_416x240_30_4taps_27qp_200fframes_RA_.txt,610.1148,35.3878,38.8348,39.9981,36.2096,405.500
RaceHorses_416x240_30_4taps_32qp_200fframes_RA_.txt,292.7292,31.9716,36.9102,38.0133,33.0348,334.423
RaceHorses_416x240_30_4taps_37qp_200fframes_RA_.txt,140.6208,29.1782,35.6703,36.6230,30.4315,282.520
RaceHorses_832x480_30_4taps_22qp_200fframes_RA_.txt,5529.2124,38.4874,41.0013,42.5193,38.9169,2165.109
RaceHorses_832x480_30_4taps_27qp_200fframes_RA_.txt,2279.3148,35.1229,38.7499,40.3903,35.8397,1669.407
RaceHorses_832x480_30_4taps_32qp_200fframes_RA_.txt,1044.0900,32.2396,36.9368,38.7101,33.1937,1367.341
RaceHorses_832x480_30_4taps_37qp_200fframes_RA_.txt,496.3320,29.5586,35.7486,37.4906,30.7122,1182.422
SlideEditing_1280x720_30_4taps_22qp_200fframes_RA_.txt,1448.9904,47.5318,46.2073,46.2330,47.0206,1667.848
SlideEditing_1280x720_30_4taps_27qp_200fframes_RA_.txt,1089.3960,43.3221,41.9543,42.0113,42.7942,1657.498
SlideEditing_1280x720_30_4taps_32qp_200fframes_RA_.txt,821.1264,38.8502,39.2882,39.4503,38.9583,1634.939
SlideEditing_1280x720_30_4taps_37qp_200fframes_RA_.txt,616.4556,34.1599,38.1149,37.7494,35.0160,1625.423
Tennis_1920x1080_24_4taps_22qp_200fframes_RA_.txt,5043.9350,42.0360,45.0848,45.8995,42.5759,8345.294
Tennis_1920x1080_24_4taps_27qp_200fframes_RA_.txt,2274.5827,40.0410,43.6885,44.0776,40.5962,6987.844
Tennis_1920x1080_24_4taps_32qp_200fframes_RA_.txt,1109.0006,37.7321,42.2918,42.4520,38.3661,6157.246
Tennis_1920x1080_24_4taps_37qp_200fframes_RA_.txt,586.3286,35.4463,41.4051,41.3512,36.2356,5552.556
Traffic_2560x1600_30_4taps_22qp_200fframes_RA_.txt,13290.0096,41.6636,41.5675,44.2325,41.9337,9176.166
Traffic_2560x1600_30_4taps_27qp_200fframes_RA_.txt,5336.9360,39.1422,39.8287,42.3172,39.6316,7477.520
Traffic_2560x1600_30_4taps_32qp_200fframes_RA_.txt,2550.3920,36.5913,38.4641,40.8169,37.3457,6666.088
Traffic_2560x1600_30_4taps_37qp_200fframes_RA_.txt,1317.3184,33.9217,37.4134,39.7235,34.9623,6100.947
